	Palo	PvT01	Tanz	Viet	Mauri	NF54F	CAMP	GN01	KH01	India	Sal1	Santa	Braz1	Korea	FCH4	7G8	Dd2	PcC01	PvP01	HB3	3D7new	MaliF	NF54N

Palo	-	3895	7821	6671	-	-	-	-	-	-	3882	6639	-	-	-	-	-	3882	3974	-	-	-	-	
PvT01	-	-	4024	4005	-	-	-	-	-	-	5242	4054	-	-	-	-	-	-	-	-	-	-	-	
Tanz	-	-	-	7603	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Viet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Mauri	3928	5609	4052	4039	-	3933	-	-	-	-	5423	4072	-	-	-	-	-	5751	5452	-	-	-	3781	
NF54F	6503	3920	7057	6061	-	-	-	-	-	-	3886	6071	-	-	-	-	-	3919	3996	-	-	-	6460	
CAMP	6535	4029	7135	6367	4052	5737	-	6533	6200	4075	4011	6302	-	4057	5669	-	4590	4021	4106	5752	-	6438	6113	
GN01	7603	4105	8596	7139	4148	7938	-	-	8635	4133	4073	6852	-	4154	-	-	-	4095	4207	7385	-	7395	7324	
KH01	7038	4093	7828	6683	4133	7180	-	-	-	-	4056	6557	-	4136	-	-	-	4080	4194	-	-	6785	6840	
India	3942	5714	4071	4057	6015	3943	-	-	4118	-	5496	4080	-	6028	-	-	-	5826	5472	-	-	3962	3807	
Sal1	-	-	4001	3987	-	-	-	-	-	-	-	4019	-	-	-	-	-	-	-	-	-	-	-	
Santa	-	-	7268	6504	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Braz1	3927	5638	4054	4043	6004	3929	4056	4152	4134	6033	5434	4063	-	6007	3616	-	2982	5785	5464	3925	-	3954	3786	
Korea	3938	5644	4055	4047	5968	3928	-	-	-	-	5446	4074	-	-	-	-	-	5786	5482	-	-	3966	3798	
FCH4	6042	3570	6638	5916	3624	5482	-	6378	6050	3620	3589	5758	-	3618	-	-	-	3561	3647	5474	-	6054	5807	
7G8	6768	4050	7592	6741	4065	6291	6358	7256	6893	4093	4017	6655	4068	4086	5951	-	4923	4038	4124	6142	-	6843	6502	
Dd2	5097	2944	5730	4956	2980	4988	-	5988	5526	2985	2949	4738	-	2968	4460	-	-	2935	2998	4945	-	5018	4903	
PcC01	-	5790	4011	3990	-	-	-	-	-	-	5307	4032	-	-	-	-	-	-	5450	-	-	-	-	
PvP01	-	5395	4095	4079	-	-	-	-	-	-	5199	4130	-	-	-	-	-	-	-	-	-	-	-	
HB3	6338	3876	6836	6028	3925	6297	-	-	6785	3927	3876	6058	-	3924	-	-	-	3860	3947	-	-	6110	6060	
3D7new	7036	4102	7654	6501	4153	7434	6135	8573	7766	4134	4072	6544	4153	4145	5937	6778	5378	4092	4213	6760	-	6584	7022	
MaliF	6866	3930	8061	6839	3952	6146	-	-	-	-	3915	6493	-	-	-	-	-	3929	4004	-	-	-	6566	
NF54N	6843	3756	7514	6400	-	-	-	-	-	-	3754	6369	-	-	-	-	-	3740	3831	-	-	-	-	
